RO	dose_form_of	350	21
RB	inverse_isa	348	347
RO	constitutes	348	246
RN	tradename_of	289	468
RB	has_quantified_form	119	100
RO	ingredients_of	111	38
RN	quantified_form_of	13	20
RB	contained_in	2	2
RN	contains	2	2
